## Table 2. Findings in This Patient and Their Association with Müllerian Aplasia and Complete Androgen Insensitivity Syndrome.

| Finding in this Patient                                                                        | Associated with Müllerian Aplasia                                 | Associated with Complete Androgen Insensitivity Syndrome |
|------------------------------------------------------------------------------------------------|-------------------------------------------------------------------|------------------------------------------------------------|
| Height, 172.7 cm (>90th percentile)                                                            | Yes; constitutional                                               | Yes                                                        |
| Minimal body hair                                                                              | Maybe; can be constitutional in patients of northern European heritage | Yes                                                        |
| Absence of ovaries on history and ultrasonography                                              | Yes, if patient has premature ovarian insufficiency or streak gonads, but unlikely | Yes                                                        |
| Absence of uterus on examination and ultrasonography                                           | Yes                                                               | Yes                                                        |
| Absence of cervix on examination and ultrasonography                                           | Yes                                                               | Yes                                                        |
| Normal vagina on examination                                                                   | Yes, if patient is sexually active                                | Yes, if patient is sexually active                         |
| Luteinizing hormone level, 25.5 IU/liter (moderately high)                                     | Yes, if patient has premature ovarian insufficiency               | Yes                                                        |
| Estradiol levels, 49 pg/ml and 43 pg/ml                                                        | Yes, if patient is anovulatory or has premature ovarian insufficiency | Yes                                                        |
| Progesterone levels, 2.15 ng/ml and 1.98 ng/ml                                                 | Yes, if patient is periovulatory                                  | Yes, if patient has ovarian-type stroma in testis          |
| Prolactin level, 6.4 ng/ml (normal)                                                            | Yes                                                               | Yes                                                        |
| Thyrotropin level, 1.42 μIU/ml (normal)                                                        | Yes                                                               | Yes                                                        |
| Thyroxine level, 1.3 ng/dl (normal)                                                            | Yes                                                               | Yes                                                        |
| Bone mineral density T scores, −1.10, −0.20, and −0.90                                         | Maybe; can be nutritional                                         | Yes                                                        |
| Presence of adnexal cysts                                                                      | Yes; müllerian remnants                                           | Yes; müllerian remnants                                    |
| Follicle-stimulating hormone levels, 1.9 IU/liter and 2.1 IU/liter (very low)                  | No, if patient has a relatively elevated luteinizing hormone level | Yes                                                        |
